question,answer,chunk_id,topic,dataset_type
北京舞蹈学院ではどのような練習スタイルや指導方法が取られていますか？,学生たちは同じスタジオにいながらも各自個別に練習し、教師が部屋の前から修正点を声に出して指導します。完璧を追求するため、習得した動作は昼食の時間まで繰り返し練習します。,cc_news_3per_chunk_24,練習文化・指導スタイル,cc_news_3per_chunks
北京舞蹈学院（BDA）はいつ、どのような目的で設立されましたか？,"BDAは1954年に中国共産党政府によって設立された、国家が全額資金を提供するプロフェッショナル訓練校です。バレエ、中国古典舞踊、社交ダンス、ミュージカルシアターの4学科に約3,000人の学生と275人の専任教師を擁しています。",cc_news_3per_chunk_25,BDAの設立背景と規模,cc_news_3per_chunks
BDAのバレエプログラムはどのような構成になっていますか？,BDAのバレエプログラムは、7年間の下位課程と4年間のプロフェッショナル学士課程から構成されています。現在、専門バレエプログラムには約100名の学生が在籍しています。,cc_news_3per_chunk_25,バレエプログラムの構成,cc_news_3per_chunks
BDAの専門課程への入学審査はどのように行われますか？,毎年16〜18歳の数百人の受験生が北京で2日間にわたりオーディションを受け、クラシックおよびコンテンポラリーの演目、即興演技を披露し、学力試験も受けます。技術力だけでなく、ダンス分野全般で活躍できる芸術家としての資質が求められます。,cc_news_3per_chunk_25,入学審査プロセス,cc_news_3per_chunks
2011年以降、BDAのバレエ教育方針はどのように変わりましたか？,BDAのバレエプログラムはロシアスタイルの技術育成で長く知られていましたが、2011年以降は中国舞踊の伝統や西洋コンテンポラリーバレエの振付家の作品に関する知識を広げる取り組みを積極的に進めています。,cc_news_3per_chunk_25,カリキュラムの変革,cc_news_3per_chunks
BDAは外国人学生を受け入れていますか？受け入れが少ない理由は何ですか？,BDAは外国人の入学願書を受け付けていますが、留学生の受け入れは多くありません。その理由は、学力入試で中国語能力が問われ、ほとんどの授業が中国語で行われるためです。ただし、世界各地のバレエ学校との交換プログラムには参加しています。,cc_news_3per_chunk_25,外国人学生の受け入れ,cc_news_3per_chunks
BDAの1日のスケジュールはどのようになっていますか？,朝8時のテクニッククラスから始まり、バレエ、中国舞踊、コンテンポラリー、レパートリー、パ・ド・ドゥのほか、舞踊史・解剖学・音楽鑑賞・怪我予防の授業が続き、リハーサルは夜9時まで及ぶこともあります。,cc_news_3per_chunk_26,BDAの日課・カリキュラム構成,cc_news_3per_chunks
BDAでヴァガノワメソッドと中国舞踊はどのように組み合わされていますか？,ヴァガノワメソッドによる厳格なバレエ技術訓練に加え、中国舞踊の円を描く上半身の動きが取り入れられており、アティチュード・プロムナード中に頭を円回しする動きなど、独自の協調性がバレエ技術を補完しています。,cc_news_3per_chunk_26,ヴァガノワメソッドと中国舞踊の融合,cc_news_3per_chunks
BDAの学生が才能を発掘してもらう主な機会は何ですか？,国際オーディションに参加しない代わりに、年次公演が才能発掘の場となっています。中国国立バレエ団を含む周辺の中国カンパニーのディレクターがスカウトのために観覧に訪れます。,cc_news_3per_chunk_26,パフォーマンスと才能発掘の仕組み,cc_news_3per_chunks
西洋の振付家との協働はBDA学生にどのような影響を与えましたか？,2011年以前は学生が自由に動いたり新しい動きに適応することが難しかったが、ポール・テイラーやヨルマ・エロ、クリストファー・ウィールドンらの作品を学ぶことで、新たな可能性に目が開かれ、全体的な能力が向上しました。,cc_news_3per_chunk_26,西洋振付家との協働と現代バレエの導入,cc_news_3per_chunks
BDAの学生の生活環境と訓練の強度はどのようなものですか？,学生はキャンパス内の寮に住み、自由時間はほとんどなく、卒業まで学校を「家」と考えています。リハーサルでは4名のコーチが細部を指摘し、アンダースタディなしで本番同様の集中した練習が行われます。,cc_news_3per_chunk_26,BDA学生の生活環境と訓練強度,cc_news_3per_chunks
BDAの卒業生はどのような就職先に進むのですか？,最も優秀な学生のみがバレエ団と契約を結びますが、その他の卒業生はBDAや周辺のダンス学校で教師などダンス関連の職に就きます。,cc_news_3per_chunk_27,BDA卒業生の就職先と進路,cc_news_3per_chunks
BDAの卒業生は何歳で社会に出るのですか？,BDAの卒業生は20〜22歳でプロとしてのキャリアをスタートします。これは西洋のバレエ学校の卒業生と比べてやや年齢が高い傾向があります。,cc_news_3per_chunk_27,卒業生の年齢と就職状況,cc_news_3per_chunks
BDAはなぜ競技会への参加を積極的に推進していないのですか？,競技会の準備は個々の生徒に多くの注意を向ける必要があるのに対し、公演は学生全体を育てられるため、学校は競技会よりも公演を重視しています。ただし競技会は国際的な露出の機会にもなっています。,cc_news_3per_chunk_27,競技会への方針と国際的露出,cc_news_3per_chunks
アメリカのバレエ団に在籍しているBDA卒業生には誰がいますか？,サンフランシスコ・バレエのソリストであるWei WangとWanting Zhao、ABTのコール・ド・バレエメンバーであるZhiyao ZhangとXuelan Luが在籍しています。,cc_news_3per_chunk_27,海外就職・アメリカのバレエ団在籍卒業生,cc_news_3per_chunks
男性古典中国舞踊クラスの写真を撮影したのは誰ですか？,男性古典中国舞踊クラスの写真はLucy Van Cleefによって撮影されました。,cc_news_3per_chunk_28,写真クレジット,cc_news_3per_chunks
BDAにブルノンヴィル・スタイルを導入したのは誰ですか？,元ロイヤル・デンマーク・バレエ芸術監督のフランク・アンダーセンです。2002年からゲスト教師として指導し、2012年には教授職を授与されました。,cc_news_3per_chunk_29,フランク・アンダーセンの経歴,cc_news_3per_chunks
BDAの学生がこれまでに上演したブルノンヴィル作品にはどのようなものがありますか？,『ナポリ』第3幕、『ラ・ヴェンタナ』、『コンセルヴァトワール』などを上演し、2015年には中国国立バレエ団の『ラ・シルフィード』にも出演しました。,cc_news_3per_chunk_29,BDA学生の上演実績,cc_news_3per_chunks
アンダーセンはブルノンヴィル技法をどのように指導していますか？,レパートリーとデンマークのマイムを通じて指導しています。技法クラスは時間が許す場合に行われますが、主にレパートリーを通じて技術を伝えています。,cc_news_3per_chunk_29,ブルノンヴィル技法の指導方法,cc_news_3per_chunks
アンダーセンがマイム指導で最も重視していることは何ですか？,「マイムをリアルに見せること」が最重要だと述べています。若いダンサーは大げさに演じがちなため、言葉で伝えられない場合は実際に見せることで指導しています。,cc_news_3per_chunk_29,マイムと表現の指導,cc_news_3per_chunks
Isabella BoylstonとJames Whitesideが互いを「Cindy」と呼ぶニックネームの由来は何ですか？,テキストでは「Cindy」というニックネームの存在と、二人がFacebook Liveでその由来について話したことが言及されていますが、具体的な由来の詳細は記載されていません。動画内で説明されています。,cc_news_3per_chunk_30,Cindyニックネーム,cc_news_3per_chunks
Isabella BoylstonがKennedy Centerで経験した最悪の思い出とはどのようなものですか？,「ラ・バヤデール」第1幕の終盤でフェッテを踊っている最中に舞台上で転倒してしまったエピソードが、Kennedy Centerでの最悪の思い出として挙げられています。,cc_news_3per_chunk_30,Kennedy Center転倒エピソード,cc_news_3per_chunks
Isabella Boylstonはパリオペラバレエへのゲスト出演についてどのような経験を語っていますか？,BoylstonはFacebook Liveの中でパリオペラバレエへのゲスト出演経験について語っています。ただし、テキストには詳細な内容は記載されておらず、動画内で詳しく説明されています。,cc_news_3per_chunk_30,パリオペラバレエゲスト出演,cc_news_3per_chunks
クラシックバレエとコンテンポラリー振付を習得する際の違いについて、二人はどのように述べていますか？,BoylstonとWhitesideはFacebook Liveの中でクラシックとコンテンポラリー振付を習得する際の違いについて話し合っています。詳細は動画内で語られており、テキストには具体的な内容は記載されていません。,cc_news_3per_chunk_30,クラシックとコンテンポラリー習得の違い,cc_news_3per_chunks
ボリショイバレエによるジョン・ノイマイヤーの「アンナ・カレーニナ」の初演はいつですか？,ボリショイバレエによる「アンナ・カレーニナ」の初演は3月23日に予定されています。世界初演は前年7月にハンブルク・バレエによって行われました。,cc_news_3per_chunk_31,ボリショイ初演日程,cc_news_3per_chunks
「アンナ・カレーニナ」はどのバレエ団が共同制作しましたか？,ハンブルク・バレエ、カナダ国立バレエ（NBoC）、ボリショイバレエの3団体が共同制作しました。カナダ国立バレエの初演は11月に予定されています。,cc_news_3per_chunk_31,共同制作バレエ団,cc_news_3per_chunks
ジョン・ノイマイヤーが「アンナ・カレーニナ」を創作するきっかけとなったインスピレーションは何ですか？,ノイマイヤーは「椿姫」の制作でスヴェトラーナ・ザハロワと共に仕事をした際に、「アンナ・カレーニナ」創作の最初のインスピレーションを得ました。,cc_news_3per_chunk_31,創作インスピレーション,cc_news_3per_chunks
ボリショイバレエの「アンナ・カレーニナ」でタイトルロールを演じるのは誰ですか？,ボリショイのスター、スヴェトラーナ・ザハロワがアンナ・カレーニナ役を演じます。彼女はノイマイヤーの創作インスピレーションの源でもあります。,cc_news_3per_chunk_31,スヴェトラーナ・ザハロワ主演,cc_news_3per_chunks
Richmond BalletのNew Works Festivalはいつ開催され、どのような特徴がありますか？,3月20日〜25日に開催され、Richmond Balletと初めて仕事をする4名の振付師が参加します。各振付師はダンサーとの25時間という制限内で10〜15分のバレエ作品を創作するという特徴があります。,cc_news_3per_chunk_32,Richmond Ballet New Works Festival,cc_news_3per_chunks
Richmond BalletのNew Works Festivalに参加する4名の振付師は誰ですか？,Francesca Harper、Tom Mattingly、Mariana Oliveira、Bradley Shelverの4名です。いずれもRichmond Balletとは初めての協働となります。,cc_news_3per_chunk_32,参加振付師と25時間制限,cc_news_3per_chunks
Ballet ArizonaのToday's Masters 2018はいつ開催され、どのような演目が予定されていますか？,3月22日〜25日に開催されます。Alejandro Cerrudoのカンパニー初演、NayonIovinoとアーティスティックディレクターIb Andersenによる世界初演が含まれます。,cc_news_3per_chunk_32,Ballet Arizona Today's Masters 2018,cc_news_3per_chunks
Ib AndersenのPelvisという作品はどのような内容で、エルヴィス・プレスリーとどのような関係がありますか？,1950年代のダンスムーブとコスチュームをフィーチャーし、エルヴィス・プレスリーへの参照を含む作品です。タイトル「Pelvis」はエルヴィスの「Elvis」と「Pelvis（骨盤）」を掛け合わせた言葉遊び（pElvis）になっています。,cc_news_3per_chunk_32,Ib AndersenとElvis参照,cc_news_3per_chunks
San Francisco Balletはジェローム・ロビンズのトリビュートとしてどのような作品を上演しますか？,SFBはFancy Free、Opus 19/The Dreamer、The Cage、Other Dancesの4作品を上演し、ロビンズのバレエとブロードウェイでのキャリアを称えます。,cc_news_3per_chunk_33,上演作品,cc_news_3per_chunks
San Francisco Balletのジェローム・ロビンズ・トリビュート公演はいつ開催されますか？,公演は3月20日から25日にかけて開催されます。SFBはこのトリビュートを「神秘的・ロマンティック・機知に富む・電撃的」と表現しています。,cc_news_3per_chunk_33,公演日程,cc_news_3per_chunks
今年ジェローム・ロビンズを称えるイベントを開催しているのはSan Francisco Balletだけですか？,いいえ、SFBは数十ものバレエ団の一つです。同年にシンシナティ・バレエやニューヨーク・シアター・バレエなど複数の団体がロビンズを称えるイベントを開催しています。,cc_news_3per_chunk_33,記念イベントの広がり,cc_news_3per_chunks
Reid BartelmeとHarriet Jungはどのようなデザインデュオですか？,デザインとダンスを創造的に融合させることで知られるコスチュームデザインデュオです。昨夏にはJustin Peckのコスチュームをベースにした水着ラインを制作し、11月にはデザイン主導のNutcrackerを発表しました。,cc_news_3per_chunk_34,Reid BartelmeとHarriet Jung,cc_news_3per_chunks
グッゲンハイム美術館のWorks & Processで3月25〜27日に行われるイベントの内容を教えてください。,Reid BartelmeとHarriet Jungが、Lar LubovitchやPam Tanowitzなど多数の振付師とコラボレーションし、彼らのコスチュームを使ったショートワークを発表します。ニューヨーク・シティ・バレエのプリンシパル、Russell Janzenらのダンサーが動くモデルとして出演します。,cc_news_3per_chunk_34,Guggenheim Works & Processイベント,cc_news_3per_chunks
今回のグッゲンハイムのショーに出演するダンサーには誰がいますか？,ニューヨーク・シティ・バレエのプリンシパルダンサーであるRussell Janzenをはじめ、複数のダンサーが「動くモデル」として出演します。,cc_news_3per_chunk_34,出演ダンサー,cc_news_3per_chunks
カナダ国立バレエ団の新作「Frame by Frame」はどのような作品ですか？,革新的な映画監督ノーマン・マクラーレンの生涯と作品をテーマにした全幕バレエで、彼の人生のヴィネット、映画からの動きの引用、技術的革新のリアルタイム再現を組み合わせた作品です。,cc_news_3per_chunk_35,Frame by Frame バレエ作品の概要,cc_news_3per_chunks
ノーマン・マクラーレンはどのような映画人ですか？,20世紀にアニメーションやピクシレーションなどの映画技術の発展に貢献したカナダ人映画監督で、1952年に短編映画『Neighbours』でアカデミー賞最優秀ドキュメンタリー賞を受賞し、1987年に死去しました。,cc_news_3per_chunk_35,Norman McLarenの経歴と業績,cc_news_3per_chunks
「Frame by Frame」はどのようなコラボレーションで生まれた作品ですか？,カナダ国立バレエ団のプリンシパルダンサー兼振付アソシエイトのギヨーム・コテと、映画・舞台監督のロベール・ルパージュが共同制作した作品で、ルパージュにとってカナダ国立バレエ団デビュー作となります。,cc_news_3per_chunk_35,Guillaume CôtéとRobert Lepageのコラボレーション,cc_news_3per_chunks
マクラーレンとバレエ・ダンスにはどのような関係がありましたか？,マクラーレンは晩年にバレエに興味を持ち、1968年の『Pas de deux』など複数のダンス映画を制作しました。ギヨーム・コテは彼を「空間と時間の振付家」と表現しています。,cc_news_3per_chunk_35,McLarenとバレエ・ダンスの関係,cc_news_3per_chunks
マクラーレンはパートナーのガイ・グローバーとどのように出会いましたか？,マクラーレンはコヴェント・ガーデンでバレエを観覧中の観客席でガイ・グローバーと出会い、その後約50年間パートナーとして過ごしました。グローバーはカナダのダンスフェスティバルのキュレーターでした。,cc_news_3per_chunk_35,McLarenの私生活（Guy Gloverとの関係）,cc_news_3per_chunks
ノーマン・マクラーレンに関するリサーチはどのように行われましたか？,ロバート・ルパージュがすでにドキュメンタリーを完成させており、カナダ国立映画制作庁（NFB）からマクラーレンの舞台裏映像を入手していました。また、大量の映像鑑賞や文献調査、存命中の協力者との面会も行われました。,cc_news_3per_chunk_36,リサーチプロセス,cc_news_3per_chunks
ロバート・ルパージュのドキュメンタリーとNFBの映像素材はプロジェクトにどう貢献しましたか？,ルパージュはドキュメンタリー制作を通じてカナダ文化への深い理解を持ち、NFBからマクラーレンの貴重な舞台裏映像を入手していました。これらはリサーチを豊かにし、舞台での個人的な生涯の描き方にも影響を与えました。,cc_news_3per_chunk_36,ロバート・ルパージュとNFB映像,cc_news_3per_chunks
「Frame By Frame」プロジェクトのタイムラインはどのようなものでしたか？,最初のワークショップは4年前に行われ、それ以来、年に1回5日間のワークショップをEx Machinaスタジオで実施してきました。,cc_news_3per_chunk_36,プロジェクトのタイムライン,cc_news_3per_chunks
Ex Machinaスタジオではダンスとテクノロジーはどのように統合されましたか？,まずダンスを先に提示し、その後にテクノロジーを加えるという順序で創作が進められました。マルチメディアチームが映像投影や小道具を用意し、テクノロジーがダンスを支配するのではなく、ダンスを引き立てる形で統合されました。,cc_news_3per_chunk_36,ダンスと技術の統合,cc_news_3per_chunks
バレエ作品『Frame by Frame』はどのような三分割構造になっていますか？,第一部はマクラーレンの生涯のヴィネット、第二部はストップモーションやボディペインティングなど彼が先駆けた技術に基づく抽象的なダンス解釈、第三部は彼の映画からの直接引用とその再現で構成されています。,cc_news_3per_chunk_37,三分割構造,cc_news_3per_chunks
マクラーレンが先駆けた技術にはどのようなものがありますか？,ストップモーション、ボディペインティング、ボディプロジェクションなどの技術を先駆けており、これらを基にした抽象的なダンス解釈が『Frame by Frame』の第二部で表現されています。,cc_news_3per_chunk_37,先駆的技術,cc_news_3per_chunks
『Pas de deux』の映画効果をバレエでライブ再現することは可能ですか？,映画制作時はマクラーレンが数ヶ月かけて作った効果ですが、現代のテクノロジーのおかげでライブでそれを複製することが可能になっています。,cc_news_3per_chunk_37,Pas de deux ライブ再現,cc_news_3per_chunks
『Frame by Frame』はストーリーバレエと言えますか？,厳密なストーリーバレエではありませんが、始まりから終わりまで一つの物語の流れがあります。,cc_news_3per_chunk_37,作品の性質,cc_news_3per_chunks
ブロードウェイリバイバル「Carousel」の振付を担当したのは誰ですか？,ニューヨーク・シティ・バレエ（NYCB）のソリスト兼レジデント振付家であるJustin Peckが担当しました。彼は演出家のJack O'Brienと並んでトップクレジットを共有しています。,cc_news_3per_chunk_38,Justin Peckの役割,cc_news_3per_chunks
「Carousel」にキャスティングされたNYCBのダンサーは誰ですか？,NYCBプリンシパルのAmar Ramasar（水夫Jigger Craigin役）と、NYCBソリストのBrittany Pollack（第2幕の「ドリームバレエ」を踊るLouise役）が出演しています。,cc_news_3per_chunk_38,NYCBダンサーのキャスト,cc_news_3per_chunks
「Carousel」でダンスキャプテンを務めているのは誰で、どのような経緯で参加しましたか？,アメリカン・バレエ・シアター（ABT）のソリストCraig Salsteinが、ABTを休職してダンスキャプテン兼アンサンブルとして参加しています。,cc_news_3per_chunk_38,ダンスキャプテン,cc_news_3per_chunks
「Carousel」のアンサンブルにはマイアミ・シティ・バレエ出身のダンサーが参加していますか？,はい、Adriana PierceとAndrei Chagas（Pointe 2015 Star of the Corps受賞者）の2名がマイアミ・シティ・バレエから参加し、アンサンブルに加わっています。,cc_news_3per_chunk_38,MCB出身ダンサー,cc_news_3per_chunks
「Carousel」には過去のブロードウェイ作品出身のバレエダンサーも参加していますか？,はい、「An American in Paris」出身のLeigh-Ann Esty、David Prottas、Laura Feigや、「Come Fly Away」出身のAmy Ruggieroなど、ベテランのブロードウェイバレエダンサーが多数出演しています。,cc_news_3per_chunk_38,過去のブロードウェイ出身ダンサー,cc_news_3per_chunks
Alexander Ekmanの『Midsummer Night's Dream』はどのような作品ですか？,現実との境界を曖昧にする夢幻的な作品で、巨大な干し草の俵、長い宴会テーブル、傘、ビーチチェアなど多数の小道具を使用し、Joffrey Balletのカンパニー全員が出演する大規模な舞台です。,cc_news_3per_chunk_39,Midsummer Night's Dreamの特徴,cc_news_3per_chunks
『Midsummer Night's Dream』におけるMikael KarlssonとAnna von Hausswolffの役割は何ですか？,Mikael Karlssonはスウェーデン人作曲家として本作のために楽曲を委嘱制作し、歌手のAnna von Hausswolffがその楽曲をステージ上で演奏・歌唱します。彼女はナレーターとして公演の重要な一部を担っています。,cc_news_3per_chunk_39,Karlsson・von Hausswolffの役割,cc_news_3per_chunks
Joffrey BalletとAlexander Ekmanの関係について教えてください。,今回の『Midsummer Night's Dream』はJoffrey BalletがEkmanの作品を上演する4作目にあたります。芸術監督Wheaterは「Ekmanが私たちを信頼して作品を完全に実現させようとしていることの表れだ」と述べています。,cc_news_3per_chunk_39,Joffrey BalletとEkmanの関係,cc_news_3per_chunks
Ekmanの『Midsummer Night's Dream』の公演日程と会場はどこですか？,シカゴのAuditorium Theatreにて、4月25日から5月6日まで上演されます。,cc_news_3per_chunk_39,公演情報,cc_news_3per_chunks
DesignWizardはrebelCon 2017にどのように関わっていますか？,DesignWizardは技術系の仲間たちと協力してrebelCon 2017のスポンサーとして参加し、イベントの共同創設に携わっています。,cc_news_3per_chunk_40,DesignWizardスポンサーシップ,cc_news_3per_chunks
rebelConとはどのようなイベントですか？,rebelConは非営利のソフトウェア開発カンファレンスです。DesignWizardをはじめとする複数のテック企業が協力して開催するイベントです。,cc_news_3per_chunk_40,rebelCon概要,cc_news_3per_chunks
rebelCon 2017はいつ、どこで開催されますか？,rebelCon 2017は2017年6月16日（金曜日）に、Republic of Workにて1日限りのイベントとして開催されます。,cc_news_3per_chunk_40,イベント詳細,cc_news_3per_chunks
アトランタからの4人の容疑者が行った詐欺チェック換金スキームの手口はどのようなものでしたか？,アトランタから来た4人が地元の浮浪者を雇い、浮浪者の写真付きIDを撮影して盗んだ口座番号と組み合わせた偽造小切手を作成。浮浪者に銀行で換金させ、報酬として約80ドルを支払う手口でした。,cc_news_3per_chunk_41,詐欺チェック換金スキームの手口,cc_news_3per_chunks
McNeightが強盗被害を受けた経緯と、それがBCSO捜査の発端となった理由を教えてください。,"McNeightは銀行で1,600ドルの偽造小切手を換金後、約束を破って半額を持って逃走。JohnathonとGermarco Johnsonにガソリンスタンドで捕まり、タイヤアイアンで脅されて金品を奪われたため、BCSoに強盗として通報したことが捜査の発端となりました。",cc_news_3per_chunk_41,McNeightによる強盗事件と捜査の発端,cc_news_3per_chunks
アトランタから来た4人の容疑者の名前と逮捕の経緯はどのようなものでしたか？,Clarence Suggs（27歳）とReginald Hughes（26歳）はEast Avenueの店舗付近で逮捕。Johnathan Johnson（22歳）とGermarco Johnson（27歳）はLynn Havenのスーパー駐車場で車両追跡により逮捕されました。Rilesが提供した車両ナンバー情報が特定の鍵となりました。,cc_news_3per_chunk_41,アトランタ容疑者の役割と逮捕,cc_news_3per_chunks
浮浪者のScott McNeightとJames Dean Rilesはそれぞれどのような行動を取りましたか？,McNeightは換金後に約束を破り半額を持って逃走し強盗被害に遭いました。一方Rilesは2つ目の銀行で換金成功後に80ドルを受け取り、Millvilleで降ろされた後、パナマシティ警察に自ら通報し車両ナンバー情報を提供しました。,cc_news_3per_chunk_41,浮浪者の関与と行動,cc_news_3per_chunks
逮捕された7人の容疑者とそれぞれの主な罪状を教えてください。,Suggs・Hughesは偽造・詐欺関連罪（各2件）。Johnathan Johnsonは武器による強盗・偽造等に加え保護観察違反。Germarco Johnsonは銃器による強盗・偽造等。Sinardは偽造小切手行使・器物損壊等。McNeightとRilesは偽造小切手行使・窃盗罪で逮捕されました。,cc_news_3per_chunk_41,逮捕された7人の容疑者と罪状,cc_news_3per_chunks
